"Coach","Tm","Start_Season","End_Season","Tenure","GAMES","WINS","LOSSES","TIE","Minority","NewCoach","Interim","Fired","WinPer"
"Dennis Green","ARI",2005,2006,2,32,10,22,0,1,2,0,1,0.312
"Ken Whisenhunt","ARI",2007,2012,6,96,45,51,0,0,1,0,1,0.469
"Bruce Arians","ARI",2013,2017,5,80,49,30,1,0,1,0,1,0.619
"Steve Wilks","ARI",2018,2018,1,16,3,13,0,1,1,0,1,0.188
"Kliff Kingsbury","ARI",2019,2022,4,66,28,37,1,0,1,0,1,0.432
"Jonathan Gannon","ARI",2023,2025,3,34,12,22,0,0,1,0,0,0.353
"Jim Mora","ATL",2005,2006,2,32,15,17,0,0,2,0,1,0.469
"Bobby Petrino","ATL",2007,2007,1,13,3,10,0,0,1,0,1,0.231
"Emmitt Thomas","ATL",2007,2007,1,3,1,2,0,1,1,1,1,0.333
"Mike Smith","ATL",2008,2014,7,112,66,46,0,0,1,0,1,0.589
"Dan Quinn","ATL",2015,2020,6,85,43,42,0,0,1,0,1,0.506
"Raheem Morris","ATL",2020,2025,6,28,12,16,0,1,1,1,0,0.429
"Arthur Smith","ATL",2021,2023,3,51,21,30,0,0,1,0,1,0.412
"Brian Billick","BAL",2005,2007,3,48,24,24,0,0,2,0,1,0.5
"John Harbaugh","BAL",2008,2025,18,276,172,104,0,0,1,0,0,0.623
"Mike Mularkey","BUF",2005,2005,1,16,5,11,0,0,2,0,1,0.312
"Dick Jauron","BUF",2006,2009,4,57,24,33,0,0,1,0,1,0.421
"Perry Fewell","BUF",2009,2009,1,7,3,4,0,1,1,1,1,0.429
"Chan Gailey","BUF",2010,2012,3,48,16,32,0,0,1,0,1,0.333
"Doug Marrone","BUF",2013,2014,2,32,15,17,0,0,1,0,1,0.469
"Rex Ryan","BUF",2015,2016,2,31,15,16,0,0,1,0,1,0.484
"Anthony Lynn","BUF",2016,2016,1,1,0,1,0,1,1,1,1,0
"Sean McDermott","BUF",2017,2025,9,131,86,45,0,0,1,0,0,0.656
"John Fox","CAR",2005,2010,6,96,48,48,0,0,2,0,1,0.5
"Ron Rivera","CAR",2011,2019,9,140,76,63,1,1,1,0,1,0.546
"Perry Fewell","CAR",2019,2019,1,4,0,4,0,0,1,1,1,0
"Matt Rhule","CAR",2020,2022,3,38,11,27,0,0,1,0,1,0.289
"Steve Wilks","CAR",2022,2022,1,12,6,6,0,1,1,1,1,0.5
"Chris Tabor","CAR",2023,2023,1,6,1,5,0,0,1,1,1,0.167
"Frank Reich","CAR",2023,2023,1,11,1,10,0,0,1,0,1,0.091
"Dave Canales","CAR",2024,2025,2,17,5,12,0,1,1,0,0,0.294
"Lovie Smith","CHI",2005,2012,8,128,76,52,0,1,2,0,1,0.594
"Marc Trestman","CHI",2013,2014,2,32,13,19,0,0,1,0,1,0.406
"John Fox","CHI",2015,2017,3,48,14,34,0,0,1,0,1,0.292
"Matt Nagy","CHI",2018,2021,4,65,34,31,0,0,1,0,1,0.523
"Matt Eberflus","CHI",2022,2024,3,46,14,32,0,0,1,0,1,0.304
"Thomas Brown","CHI",2024,2024,1,5,1,4,0,0,1,1,1,0.2
"Ben Johnson","CHI",2025,2025,1,0,0,0,0,0,1,0,0,0
"Marvin Lewis","CIN",2005,2018,14,224,115,106,3,1,2,0,1,0.52
"Zac Taylor","CIN",2019,2025,7,99,46,52,1,0,1,0,0,0.47
"Romeo Crennel","CLE",2005,2008,4,64,24,40,0,1,1,0,1,0.375
"Eric Mangini","CLE",2009,2010,2,32,10,22,0,0,1,0,1,0.312
"Pat Shurmur","CLE",2011,2012,2,32,9,23,0,0,1,0,1,0.281
"Rob Chudzinski","CLE",2013,2013,1,16,4,12,0,0,1,0,1,0.25
"Mike Pettine","CLE",2014,2015,2,32,10,22,0,0,1,0,1,0.312
"Hue Jackson","CLE",2016,2018,3,40,3,36,1,1,1,0,1,0.088
"Gregg Williams","CLE",2018,2018,1,8,5,3,0,0,1,1,1,0.625
"Freddie Kitchens","CLE",2019,2019,1,16,6,10,0,0,1,0,1,0.375
"Kevin Stefanski","CLE",2020,2025,6,84,40,44,0,0,1,0,0,0.476
"Bill Parcells","DAL",2005,2006,2,32,18,14,0,0,2,0,1,0.562
"Wade Phillips","DAL",2007,2010,4,56,34,22,0,0,1,0,1,0.607
"Jason Garrett","DAL",2010,2019,10,152,85,67,0,0,1,1,1,0.559
"Mike McCarthy","DAL",2020,2024,5,84,49,35,0,0,1,0,1,0.583
"Brian Schottenheimer","DAL",2025,2025,1,0,0,0,0,0,1,0,0,0
"Mike Shanahan","DEN",2005,2008,4,64,37,27,0,0,2,0,1,0.578
"Josh McDaniels","DEN",2009,2010,2,28,11,17,0,0,1,0,1,0.393
"Eric Studesville","DEN",2010,2010,1,4,1,3,0,1,1,1,1,0.25
"John Fox","DEN",2011,2014,4,64,46,18,0,0,1,0,1,0.719
"Gary Kubiak","DEN",2015,2016,2,32,21,11,0,0,1,0,1,0.656
"Vance Joseph","DEN",2017,2018,2,32,11,21,0,1,1,0,1,0.344
"Vic Fangio","DEN",2019,2021,3,49,19,30,0,0,1,0,1,0.388
"Jerry Rosburg","DEN",2022,2022,1,2,1,1,0,0,1,1,1,0.5
"Nathaniel Hackett","DEN",2022,2022,1,15,4,11,0,0,1,1,1,0.267
